model,molecule,R2_mean,R2_std,RMSE_mean,RMSE_std,n_seeds
cnn,CH4,0.9999589681625366,1.3709431104413458e-05,0.011546688177272802,0.002134402823059289,5
cnn,CO,0.9999497532844543,6.344885739820237e-06,0.009471910921824301,0.0005917527768584022,5
cnn,CO2,0.9997876644134521,4.060027158868774e-05,0.012282873302401342,0.0011636849126406767,5
cnn,H2,0.997964608669281,7.383903409289738e-05,0.11471877587191966,0.0020810615046468984,5
cnn,H2O,0.9991381168365479,0.0009452680554387265,4.168995621595078e-06,2.331661728014995e-06,5
cnn,H2S,0.999912416934967,1.149632843039446e-05,0.0037107457901606597,0.00024798227086064,5
cnn,N2,0.998661744594574,7.338638261004989e-05,0.00161569057381824,4.4618568635672497e-05,5
cnn,N2O,0.9992267251014709,3.3513572190166744e-05,0.00425232769458536,9.243131465415181e-05,5
cnn,NH3,0.8,0.44721359549995804,1.1188286938182226e-08,2.5017770145548443e-08,5
cnn,O2,0.9989969968795777,7.602126269365929e-05,0.00543220193187062,0.0002061825221662691,5
cnn,O3,0.9991914391517639,5.625277520090903e-05,0.00356085400852664,0.00012593018873802104,5
cnn,SO2,0.9997485876083374,3.582368077197618e-05,0.00176557792327048,0.00012573474520225723,5
rf,CH4,0.930698823928833,0.004961815724514468,0.4807952211737413,0.01747800197055606,5
rf,CO,0.9385118842124939,0.003532726989210904,0.3318075966333124,0.009433475700679098,5
rf,CO2,0.8847254753112793,0.0028392198136377345,0.2871934825464117,0.0035285152724726476,5
rf,H2,0.7429956316947937,0.007332386370883035,1.2891476571269522,0.018429206188119964,5
rf,H2O,0.4651952266693115,0.05113417472409452,0.00011600791566306,5.698495342938221e-06,5
rf,H2S,0.9379702925682067,0.008123337291327267,0.09875908774978381,0.006361306722216781,5
rf,N2,0.7198378920555115,0.009933550198239246,0.023381379112257603,0.0004153292138115793,5
rf,N2O,0.7722650647163392,0.005084347130888868,0.07298493916034686,0.0008163156597343668,5
rf,NH3,1.0,0.0,0.0,0.0,5
rf,O2,0.7271941781044007,0.0033221746659417802,0.08963880008713894,0.000546683311503474,5
rf,O3,0.7445907354354858,0.00487087868980188,0.06331617429853996,0.0006053501231379452,5
rf,SO2,0.896697735786438,0.0027964431765613684,0.0358579761168041,0.0004839655009327688,5
